,0
0,0.00010842760500693744
1,4.8457378893291606e-05
2,0.0001091432177987223
3,0.00011406217698683353
4,0.00010210718992503428
5,0.00010064602772356277
6,0.0001028590115741572
7,0.00011380083595740845
8,0.00011223643006245097
9,0.00012676081500627933
10,0.00011165882671463885
11,0.00012641502462320826
12,0.000122450263979981
13,0.00010390507513001395
14,8.681837111809754e-05
15,0.00012191748277858595
16,0.00011548492731648432
17,9.726266286632944e-05
18,0.00015363479581789684
19,0.00010863025876105835
