,0
0,0.00019847371703927386
1,0.00015658033565154068
2,8.880595658944062e-05
3,0.0001813001721856665
4,0.00024846836230894663
5,0.0006112040756844542
6,0.00012970346876300376
7,0.00011942317194845759
8,0.0003004765664656735
9,0.00020335328790160702
10,0.00019337624976179148
11,0.00019726888754018572
12,0.00023739253079954083
13,0.000161725984525816
14,0.0001596492892150525
15,0.0002135627556004587
16,0.0002674429008783957
17,0.0002885573919753133
18,9.165626821538334e-05
19,0.0001390476740300193
