,0
0,0.0001230411659995611
1,0.00019726430876446265
2,0.00016751527512989025
3,0.00015065167827290702
4,0.00012788517057019352
5,0.00011157578737937072
6,0.0001903366211403263
7,0.00011819314718893155
8,0.00026582473993203167
9,9.536281984919958e-05
10,0.00029886860583135913
11,0.00013978169159800733
12,0.00012656216840126061
13,0.00019586852523402945
14,0.00014444550291299043
15,0.00014795149478051783
16,0.00014349495352304338
17,0.00024286346417187095
18,0.0001446574088059251
19,0.00024311340292851349
