,0
0,0.0001173473262909077
1,0.00013202791719839403
2,0.0001919466845411929
3,0.00015500163519074003
4,0.00016746645470434233
5,0.00011699652159642111
6,0.00013642111382902884
7,0.00012002920872727217
8,0.00016245418825627393
9,0.0001437454888604499
10,0.00011777295055924787
11,0.00014051275997243774
12,9.878368782189115e-05
13,0.00011850280746722854
14,0.00017340614922461284
15,0.00015575285042135646
16,0.00013851653660335353
17,0.00010659907947265121
18,0.00014998720821106221
19,0.00012045529604106422
