,Ca_pred,Cb_pred,Cc_pred,Qout_pred,index,Ca,Cb,Cc,Qout
0,0.13932379,0.43895483,0.8037246,0.9629338,3100,0.1314836084825237,0.45505809135692166,0.796581382934141,0.9734263112691582
1,0.13760918,0.4574535,0.80066186,0.9702632,3101,0.12200891684862239,0.4637733082948899,0.8000367355677966,0.9706084138175305
2,0.1259411,0.45721275,0.7966514,0.9727533,3102,0.13001959552372577,0.46842012668597033,0.8009814976178916,0.9705063867077569
3,0.13727276,0.45885158,0.8080934,0.96446615,3103,0.12378092880061892,0.4763417970272266,0.8033820739475883,0.9691207234352857
4,0.122895665,0.47390974,0.80749273,0.96413046,3104,0.1323850211724144,0.4831115788578351,0.8041450311024454,0.9698232297533287
5,0.15214741,0.47879833,0.8122675,0.964699,3105,0.14315569845694562,0.5019509134973684,0.8071844012362249,0.9689682778629953
6,0.14404063,0.50383645,0.8071172,0.97304606,3106,0.15537421486211628,0.49898821599545595,0.8093963661765061,0.9693933620584628
7,0.15327749,0.48357105,0.809664,0.96720344,3107,0.1716861817342049,0.48432929732383095,0.8137001830889546,0.9680712796300535
8,0.17273954,0.48186064,0.81793755,0.9640112,3108,0.1650010258681218,0.4917322398558075,0.8194298963756238,0.9648097096426809
9,0.16145131,0.47837114,0.8219336,0.9636118,3109,0.16793908152418038,0.4918252874599174,0.8209547225702094,0.9650324957729887
10,0.16216126,0.4903975,0.81236094,0.9751108,3110,0.18015559119960484,0.4951877952547644,0.822680963609824,0.9657750891694618
11,0.16527109,0.4998616,0.81850684,0.9692554,3111,0.17934246172879387,0.5004960768255516,0.8247091814268255,0.966367001329134
12,0.18336466,0.49275607,0.8293637,0.969562,3112,0.20147852775163058,0.4985055372262853,0.8282546109611999,0.9657669998524777
13,0.19965926,0.49457568,0.8321239,0.96578467,3113,0.2067240234420353,0.4956737240101519,0.832075222577827,0.9649410099545619
14,0.20590304,0.47623366,0.84389234,0.95687526,3114,0.20227076276912706,0.4986073226848063,0.83591227408699,0.9638072504210151
15,0.20224461,0.48379457,0.8334546,0.9686976,3115,0.22455955029881033,0.5008170619167998,0.837297829067596,0.9653556881770929
16,0.23373789,0.48679662,0.8462171,0.9622104,3116,0.22429715668312983,0.5109572036622028,0.8419989803213158,0.9643378533648324
17,0.21353927,0.5000051,0.83874106,0.9676838,3117,0.22526587716762855,0.50882054377147,0.8433077792799137,0.9662844998566545
18,0.22354174,0.494713,0.8407671,0.9720034,3118,0.2446622605651896,0.510279699378825,0.8457670007184327,0.9676589147277056
19,0.24568045,0.4899459,0.8503916,0.9663103,3119,0.25323030346433084,0.5008774801817077,0.8486118687099798,0.9689777810048061
20,0.24782172,0.49146277,0.856753,0.9653121,3120,0.2570492494324045,0.5003286201183337,0.853345279341517,0.9677980578836926
21,0.24779418,0.4933589,0.8598694,0.9644944,3121,0.2699463982076138,0.48490487621704764,0.8561880928721514,0.9681210249876332
22,0.2686842,0.4722867,0.86060864,0.96717477,3122,0.28240306617891336,0.49491282977582945,0.8594694875580926,0.9685228109397827
23,0.2692052,0.48821992,0.86656106,0.96328247,3123,0.2684799568262048,0.5187412183665178,0.8619039790845854,0.9697315036969187
24,0.25588787,0.5037244,0.87082535,0.95962524,3124,0.2649264810477335,0.5084266048688851,0.8686708609234846,0.9663514195785363
25,0.25312188,0.5042115,0.87169194,0.9635599,3125,0.26283167966595916,0.5214197977890181,0.8724231074474226,0.9649361925956543
26,0.2551147,0.50986767,0.86973464,0.97052604,3126,0.25554516232515645,0.5138722776234006,0.8766907332459928,0.9624327500906954
27,0.25167963,0.51363605,0.8702491,0.968827,3127,0.26989208355269717,0.5261465355806926,0.8764372669451115,0.9640927080159603
28,0.2666022,0.5164698,0.8813691,0.96176213,3128,0.2635008247324756,0.5407792243560056,0.8820514874817761,0.9608400140029281
29,0.2502163,0.5365699,0.88218427,0.95953095,3129,0.27036310316400597,0.5496152301960154,0.884193901944382,0.9608392089562892
30,0.26066566,0.5441058,0.8839278,0.96287507,3130,0.26727921514657027,0.5497614863918912,0.8886905221392164,0.9584261591754348
31,0.25935882,0.5263765,0.88826054,0.95994633,3131,0.2841003759487066,0.548259807550704,0.8902518102404656,0.9590567254777244
32,0.26822424,0.5380805,0.887926,0.964426,3132,0.27848942728301734,0.5601188547883681,0.8928649028518794,0.9587380498182227
33,0.27513984,0.5455024,0.8816736,0.9739373,3133,0.3113304666732196,0.5621803289635812,0.8933704865319351,0.9611828335501612
34,0.30333674,0.54908526,0.89403456,0.96570694,3134,0.33901612214319526,0.553948910694424,0.8957506074765794,0.9632837546902603
35,0.33141598,0.54512495,0.89785063,0.96330285,3135,0.3251539583016068,0.5544468434499734,0.9041773429421626,0.9591746231025808
36,0.31217796,0.52948,0.89928234,0.9637903,3136,0.336933654253724,0.5615981371963561,0.9045150456881607,0.9620345318413837
37,0.33939564,0.56060034,0.90564173,0.96342087,3137,0.3279592260359559,0.5670354633412227,0.9096944342205469,0.9603512352815221
38,0.3191077,0.5567882,0.9081433,0.9665969,3138,0.34164667331556464,0.5543750607749401,0.9142925335778697,0.9588296824479302
39,0.3151891,0.5431388,0.90694237,0.964409,3139,0.3487518501322026,0.5441219642777162,0.9179182342071761,0.9579923638814191
40,0.347122,0.55388737,0.91488755,0.965883,3140,0.3589887992145595,0.5565168444844782,0.9189477922580495,0.959308362917608
41,0.33923984,0.539971,0.9121927,0.9649846,3141,0.36671013559728594,0.552349592833957,0.9215957127509057,0.959761148806572
42,0.3529503,0.5338837,0.9195063,0.9621947,3142,0.37635127608709124,0.5501146027700924,0.9258273071012797,0.9585088604699353
43,0.36959517,0.5411944,0.92266583,0.9649745,3143,0.3796397285005576,0.5674266147875612,0.9264382646705546,0.9608177635161212
44,0.35997167,0.5512494,0.9235549,0.96383935,3144,0.38929343307680336,0.5614640887753533,0.9273474466307562,0.9629695549292716
45,0.3668243,0.5464688,0.9263619,0.96378905,3145,0.389261638526147,0.5639746963754291,0.9293510421999049,0.9642082585503239
46,0.37022024,0.55776125,0.9310919,0.96308714,3146,0.3889030990045614,0.5666095234257489,0.9337290506665274,0.9630587172041942
47,0.36757907,0.55350417,0.93172216,0.9661513,3147,0.39585658205354524,0.56361278319089,0.9387833384627395,0.9609437537137139
48,0.38806787,0.54899746,0.93763685,0.965311,3148,0.3969866581720878,0.5659780900471606,0.9397762940637628,0.9622475613849791
49,0.378596,0.544073,0.9377414,0.96301574,3149,0.4011769464231558,0.5711660997965938,0.9416061720718012,0.9627323918803067
50,0.38521922,0.551907,0.9370761,0.96472067,3150,0.41017100723207406,0.5706544348977787,0.9442547381975079,0.962474566250877
51,0.4021995,0.55848473,0.94478667,0.9616714,3151,0.4248439819154403,0.5806200795118349,0.9468274107823709,0.9625361720598368
52,0.40844804,0.56895345,0.94621265,0.9643957,3152,0.4407567915683264,0.590434090703999,0.9437553507707427,0.968943841043816
53,0.42368454,0.58726215,0.95224667,0.96163267,3153,0.436497402024624,0.588436356318051,0.9457878765836352,0.9708292509291071
54,0.4297006,0.5825644,0.95427907,0.96168965,3154,0.43352030240738965,0.5887416589707298,0.9491966933775119,0.970830987088227
55,0.4337249,0.59594804,0.95675623,0.9646496,3155,0.43887543148508107,0.5934187271421291,0.9493587067755743,0.9737780473716292
56,0.42495933,0.5853836,0.9610876,0.9617622,3156,0.45071119911446517,0.5849119491851013,0.9512022117895401,0.9751214466178056
57,0.43978778,0.577712,0.9625511,0.96214366,3157,0.46120048694390914,0.5764567222992913,0.9566734668139865,0.9729665926504079
58,0.46710658,0.5720008,0.96548927,0.9653071,3158,0.45869197315676363,0.5762004377527536,0.9611352930412348,0.9716518550200247
59,0.45428753,0.57474446,0.9670758,0.9661199,3159,0.4501077133698407,0.5858610045646111,0.9660685640168745,0.9695556829474964
60,0.44627595,0.583414,0.9671359,0.9676945,3160,0.4473033602108434,0.59758438994521,0.9670122228124983,0.9705596343108253
61,0.43877658,0.5939019,0.9714881,0.9634312,3161,0.44628001880284074,0.6052296476049033,0.968751969431116,0.9707987804062925
62,0.42296457,0.59072506,0.96834993,0.9645254,3162,0.4561718485775015,0.6103547531926607,0.9692566291108669,0.9722835835813097
63,0.4445209,0.5983167,0.97583497,0.9618019,3163,0.4493103182915232,0.6121761420153149,0.9718472081455057,0.9722985675820378
64,0.44997305,0.6097375,0.9755906,0.9681211,3164,0.4525375225210018,0.6167298861501465,0.9766695537442064,0.9698639976516187
65,0.46177897,0.6100133,0.9768629,0.96866035,3165,0.46694898840252314,0.6028331755655075,0.9800861651553889,0.9685995896786126
66,0.45348394,0.5966406,0.97803557,0.9657373,3166,0.45820806339597303,0.606142264706861,0.9811187992407201,0.9688903526962306
67,0.46612278,0.6021878,0.98200285,0.96712875,3167,0.47161911696060915,0.6045087362981698,0.981131432361644,0.9704141814555406
68,0.46532747,0.59776306,0.9825691,0.9659647,3168,0.45718323182055254,0.617353034027424,0.9851244202180114,0.968132180262117
69,0.4438428,0.6141568,0.98272467,0.9649735,3169,0.46346151473928693,0.6110822617742708,0.9889264377262053,0.9655077919783398
70,0.44272113,0.5975268,0.98213387,0.96521896,3170,0.4680931909478424,0.6176296458811721,0.9903466173876305,0.9653223952942823
71,0.4520068,0.6067755,0.98685193,0.96334124,3171,0.4788014756131665,0.6101283536958269,0.992143711419477,0.9648784006155752
72,0.48141053,0.6068754,0.9862205,0.9696943,3172,0.47422497014681453,0.6360433135803231,0.9921918044611985,0.9662955552361052
73,0.4510697,0.617866,0.99084187,0.9592624,3173,0.4713607142936758,0.6392313439053129,0.9905632756468343,0.9692085667821968
74,0.47678792,0.63350606,0.9918717,0.9704609,3174,0.46704488419117623,0.6453512897617771,0.9928844628932665,0.9688404424402852
75,0.4381287,0.61895955,0.9845288,0.9671506,3175,0.4564782385646389,0.6442940610438382,0.9944982377584759,0.9683828914229392
76,0.45134282,0.6376448,0.9903978,0.96726006,3176,0.4558020509994916,0.6288508894312427,0.9967231345857841,0.9669867020685607
77,0.42717373,0.6025494,0.984745,0.96901405,3177,0.4486483606368754,0.6205691032636251,0.9956556674827598,0.967805941140559
78,0.44623968,0.6232251,0.9906924,0.9674601,3178,0.4476433718914894,0.6412615751509284,0.9931716641561932,0.9699699935652076
79,0.43110216,0.63488984,0.99259377,0.9613125,3179,0.4392652566931973,0.6326054839676265,0.9961015133020557,0.9673615687248714
80,0.4368355,0.63335377,0.99003685,0.96780086,3180,0.43910112323746386,0.6278332063659974,0.9968595670124147,0.9662652479880486
81,0.4223982,0.61649805,0.9865676,0.96884227,3181,0.4514867974453124,0.6187347335089827,0.9966050133203782,0.9661159051148552
82,0.41232875,0.5891137,0.98224187,0.9696516,3182,0.45228142866187054,0.5932050615634302,0.9966808462089561,0.9655182021326465
83,0.44237593,0.5930835,0.98518956,0.9699778,3183,0.45001997771889246,0.606937152304871,0.9939986252124802,0.9669934970272702
84,0.43185675,0.6012772,0.98638225,0.9685707,3184,0.43836636314485344,0.619779608549329,0.9936432156327918,0.9666412040889997
85,0.4260321,0.6071491,0.9846802,0.97054297,3185,0.43861233252974635,0.6074579872985458,0.9934428913766633,0.9660727142338436
86,0.42047688,0.6038421,0.9855882,0.9664355,3186,0.440336839679376,0.6136675325735775,0.9918722080472843,0.9664704672702632
87,0.4420744,0.60427386,0.987051,0.9661509,3187,0.44467587494180016,0.6117034591336774,0.9952700678927145,0.9628845814232764
88,0.4435685,0.6059828,0.98264277,0.9735388,3188,0.4301454862045097,0.6195289195919876,0.993953003856202,0.9636712717789029
89,0.43963295,0.6168299,0.98333097,0.9717045,3189,0.43154062563382767,0.6103889167213714,0.9955886474451368,0.9613877398849606
90,0.39740533,0.58687085,0.976038,0.9715969,3190,0.4413578686915538,0.6036364170699448,0.9954135396693642,0.9605073923447967
91,0.43177432,0.5902621,0.9831197,0.96829295,3191,0.44177268012628,0.6175958878337829,0.9925539213165508,0.9622606947649179
92,0.42536798,0.6063627,0.98350894,0.9639081,3192,0.43832660580004246,0.6146733292767739,0.9934831670448773,0.9611346718146283
