,Ca_pred,Cb_pred,Cc_pred,Qout_pred,Ca,Cb,Cc,Qout
0,0.1716733,0.48637486,0.8018886,0.9565773,1.0,0.9858941420950899,0.0,0.0
1,0.21119052,0.5400215,0.8561542,0.9501517,0.9823076862744187,1.0,0.11912246337590114,0.04986328101203321
2,0.16491559,0.5019165,0.80037856,0.9429908,0.990594652295735,0.9657462985125292,0.22303041388910178,0.0895445445882194
3,0.16517583,0.51194435,0.8041236,0.9358696,0.9136900983394974,0.9864841086001219,0.30578414488889083,0.1288487113410055
4,0.16075398,0.52350014,0.821047,0.9689218,0.8791907101659441,0.9344814314812799,0.37502723574286523,0.16569552533789017
5,0.16341773,0.55840373,0.8481633,0.9601753,0.8253479752996898,0.9388249852052487,0.43106319456398146,0.19833195656688557
6,0.2097347,0.5680363,0.8785588,0.96862984,0.8044995819653765,0.9418337673409228,0.4734657938458959,0.23552889528051027
7,0.172934,0.5229993,0.8217586,0.9463161,0.7928243839989378,0.9316240916618238,0.5186109696919478,0.2634374924071019
8,0.206356,0.541736,0.8560227,0.9507842,0.8007174920900999,0.924926160125977,0.5556361853274144,0.29321901153221563
9,0.18087319,0.51334554,0.8223564,0.9471854,0.7950474908810398,0.8782626757138089,0.5932564486997982,0.31704611784244624
10,0.21623966,0.5260799,0.8612889,0.9719459,0.7918118387028033,0.8601855948759696,0.6261580383062185,0.3387754359525761
11,0.2219575,0.54625857,0.87162876,0.96528435,0.764967764553915,0.8245480045051414,0.652378744705832,0.3610284686149565
12,0.2089121,0.5303726,0.870264,0.98512673,0.7303144376143252,0.850351636717609,0.6702751301770276,0.3861767042279761
13,0.2378732,0.5461733,0.8883634,0.97401345,0.733309078661638,0.8314352482393227,0.6906330238417769,0.4075061663712236
14,0.18973932,0.5009043,0.8353741,0.96417046,0.7204929302758356,0.8246780007903437,0.7080289939924015,0.4285165517282676
15,0.2221848,0.5107711,0.850846,0.95087457,0.7261118886968058,0.8026807755509644,0.7254787366764908,0.44711490749524874
16,0.20748013,0.514102,0.8668683,0.98388124,0.7387072374998334,0.7637401526556163,0.7425720067042928,0.4647438963201089
17,0.23043409,0.5095858,0.8607117,0.96181035,0.724856249059452,0.7619103616077996,0.7544978258100479,0.48336453007905755
18,0.2242612,0.4899878,0.8483557,0.96767056,0.731380008496964,0.759111912097607,0.768004811140263,0.500430107981527
19,0.22653162,0.48835814,0.85326326,0.9683008,0.7141503488976131,0.7919879803786003,0.7843690011774588,0.5138783933129306
20,0.24439757,0.49519157,0.8778515,0.98823595,0.6856202626231934,0.8063568347390436,0.7982900791159305,0.5282938663418639
21,0.25425375,0.4969998,0.87847435,0.97773135,0.6821110473364027,0.789726752526053,0.8081773138664861,0.5441126891833701
22,0.25711626,0.46838838,0.8693317,0.98000264,0.6739940372756835,0.7954088152354619,0.8199172889405371,0.5572996660447997
23,0.25532967,0.45964924,0.86160964,0.98702645,0.673002345473,0.7936774851234892,0.8296523137777121,0.571453465713993
24,0.22564375,0.48734194,0.8545301,0.97489774,0.6801863783209302,0.7640890627339123,0.8380893722126307,0.5854907326648721
25,0.24587281,0.48452997,0.8663668,0.9851315,0.6807749372648068,0.7553286450327262,0.846384678566773,0.5986357334895014
26,0.24974705,0.49171817,0.8655621,0.96819806,0.6752312709408369,0.7262132489633927,0.8551620330623324,0.6096441368479107
27,0.25187933,0.537396,0.8893499,0.97173345,0.6566138788143789,0.7146695650508347,0.8653720046469456,0.6174170998503536
28,0.24072176,0.5176412,0.8847948,0.98316276,0.6674488687819484,0.6940205025959839,0.8704993460030551,0.6284308424099236
